iter	Logloss
0	0.6847046883
1	0.6748290658
2	0.6659030982
3	0.6564474317
4	0.6477385021
5	0.6387025721
6	0.6293536329
7	0.6218727285
8	0.6123996345
9	0.6039773898
10	0.594744655
11	0.5880009106
12	0.5808702444
13	0.5724363103
14	0.5644490992
15	0.5577508107
16	0.5514439191
17	0.5440707117
18	0.5360914059
19	0.5290327499
20	0.5234366103
21	0.5155047247
22	0.5095810514
23	0.5023545443
24	0.4981366295
25	0.4918113111
26	0.485998699
27	0.4807078694
28	0.4752124112
29	0.469214119
30	0.4637621403
31	0.4586983196
32	0.4521851238
33	0.4460805739
34	0.4403654816
35	0.4364513852
36	0.4316148564
37	0.4259823434
38	0.4201151613
39	0.414462585
40	0.4102774358
41	0.4049129304
42	0.3995132497
43	0.3948642297
44	0.3910826227
45	0.3864107941
46	0.381469656
47	0.3769780006
48	0.3721563107
49	0.3677071193
50	0.3635460015
51	0.3598734463
52	0.3562535315
53	0.3536706875
54	0.3500336894
55	0.3475933324
56	0.3440080567
57	0.3402291992
58	0.3377282141
59	0.3342119921
60	0.3306751945
61	0.3281358382
62	0.3249778815
63	0.3224581124
64	0.3191908871
65	0.3156466301
66	0.3120798205
67	0.3089347442
68	0.3061506609
69	0.3032383159
70	0.3003274273
71	0.2975815813
72	0.2945360967
73	0.2916191505
74	0.2888985591
75	0.2854436645
76	0.282898775
77	0.2803871847
78	0.2780466964
79	0.2758370119
80	0.2731957149
81	0.2706737634
82	0.2683654545
83	0.265849941
84	0.2632445079
85	0.2607362921
86	0.2583770032
87	0.2560933354
88	0.2537499345
89	0.2516180291
90	0.2493436695
91	0.2474224605
92	0.2456823539
93	0.2432638571
94	0.2409792475
95	0.2389849178
96	0.2371409503
97	0.2355235095
98	0.2334680828
99	0.2313461801
100	0.2296607117
101	0.2278186261
102	0.2262117089
103	0.2246236214
104	0.2228347123
105	0.2214279035
106	0.2197234396
107	0.2184049601
108	0.216726231
109	0.215214093
110	0.2139521034
111	0.2125034216
112	0.2108292016
113	0.2090521346
114	0.2076091771
115	0.2061655333
116	0.2047299357
117	0.2034724916
118	0.2020513484
119	0.2008525858
120	0.1993929496
121	0.1979949019
122	0.1967569442
123	0.195728142
124	0.1941975197
125	0.1928994506
126	0.1917806922
127	0.1902265759
128	0.1891698286
129	0.188250133
130	0.1870809614
131	0.1860407025
132	0.1850255075
133	0.1837948666
134	0.1826530044
135	0.1818843747
136	0.1806698889
137	0.1794911181
138	0.1783650191
139	0.1771276661
140	0.1760879952
141	0.1753141982
142	0.174069844
143	0.1729417858
144	0.1718130375
145	0.1708894127
146	0.1699047119
147	0.1688029392
148	0.1676628928
149	0.1667677809
150	0.1655194805
151	0.1642502993
152	0.1634280604
153	0.162590883
154	0.1616215493
155	0.1608210164
156	0.1602655605
157	0.1597173699
158	0.158751775
159	0.1579710112
160	0.1570933218
161	0.1566356625
162	0.1556178301
163	0.1547700231
164	0.1538302436
165	0.1527780441
166	0.1522721418
167	0.1515391275
168	0.1507402545
169	0.149920039
170	0.1490285575
171	0.1481700986
172	0.1474781227
173	0.1467439891
174	0.1459105927
175	0.1450737567
176	0.1443060243
177	0.1436816801
178	0.1429476706
179	0.1422372922
180	0.141514084
181	0.1407974125
182	0.1401727073
183	0.1393640783
184	0.1388002144
185	0.13812086
186	0.1375110927
187	0.1366003263
188	0.1359729325
189	0.1350377762
190	0.1345508278
191	0.1340963776
192	0.133424445
193	0.132851031
194	0.1322217413
195	0.1316027469
196	0.1310875905
197	0.1303563907
198	0.1296094655
199	0.1289818438
200	0.128402259
201	0.1280587093
202	0.127521642
203	0.127005916
204	0.1264090373
205	0.1258858538
206	0.1253057899
207	0.1247263085
208	0.1242666637
209	0.1238246311
210	0.1234416557
211	0.1228185423
212	0.1224739399
213	0.1219982079
214	0.1215293878
215	0.1210579116
216	0.120660477
217	0.1202464846
218	0.1198215677
219	0.1194090118
220	0.1191840126
221	0.1187291743
222	0.118333242
223	0.1178100549
224	0.1173474386
225	0.1166895449
226	0.1161720873
227	0.1159030876
228	0.1155571677
229	0.1150550682
230	0.1145088769
231	0.1141625131
232	0.1137796951
233	0.1133835402
234	0.1128958892
235	0.1124231478
236	0.1118759366
237	0.1114497114
238	0.1110971854
239	0.1105440984
240	0.1101497449
241	0.1099220782
242	0.1095607333
243	0.1091378073
244	0.108748938
245	0.1083647351
246	0.1079310434
247	0.1075953583
248	0.1072273257
249	0.1070061596
250	0.1066187283
251	0.1061944144
252	0.1059197077
253	0.1056262933
254	0.1053495636
255	0.1049875072
256	0.1045578857
257	0.1042020608
258	0.1038751301
259	0.1034703641
260	0.1030537473
261	0.1027632089
262	0.1023801073
263	0.1021383486
264	0.1017530532
265	0.1015544895
266	0.1012877148
267	0.1009170271
268	0.1006027851
269	0.1003367529
270	0.1000609077
271	0.09977424201
272	0.09938206336
273	0.09898663379
274	0.09858336847
275	0.09828985018
276	0.09794062361
277	0.09770321193
278	0.09744430978
279	0.0971160481
280	0.09673537565
281	0.09642615745
282	0.09620673561
283	0.09579421597
284	0.09549891433
285	0.09529842567
286	0.09507485243
287	0.09485538432
288	0.09457061865
289	0.09429996062
290	0.09414508564
291	0.09392027228
292	0.09365118051
293	0.09331616395
294	0.09306655958
295	0.09281507727
296	0.09244904836
297	0.09204532472
298	0.09181972576
299	0.09153005325
300	0.09120108665
301	0.09095539417
302	0.09064819056
303	0.09033778151
304	0.09004888356
305	0.08972850346
306	0.08952760564
307	0.08932430499
308	0.08899155207
309	0.08865824116
310	0.08851176636
311	0.08826536964
312	0.0879906442
313	0.08779515395
314	0.08751527549
315	0.08721373186
316	0.08696880062
317	0.08677357284
318	0.08649931844
319	0.08630745055
320	0.08608137393
321	0.08591048757
322	0.08570089734
323	0.08543298309
324	0.08522804305
325	0.08489620075
326	0.08458120197
327	0.08435142147
328	0.08416447183
329	0.08396734144
330	0.0836959765
331	0.08346963785
332	0.08314656398
333	0.08283011379
334	0.08265259037
335	0.08244180657
336	0.08215019643
337	0.08196639525
338	0.08174617554
339	0.08149946534
340	0.08129127566
341	0.08100895399
342	0.08081301309
343	0.08061022555
344	0.08043837679
345	0.08028107958
346	0.08007820358
347	0.07994957757
348	0.07976180758
349	0.0794883971
350	0.07933295723
351	0.07917980318
352	0.07895741292
353	0.07871542274
354	0.07844135228
355	0.07822336601
356	0.07792284239
357	0.07771631288
358	0.07748681255
359	0.07719410131
360	0.07700735657
361	0.07677389516
362	0.07661019942
363	0.07635696992
364	0.07621488642
365	0.07599704673
366	0.07577844865
367	0.0755713472
368	0.07537543635
369	0.07517740589
370	0.0749587998
371	0.07472285172
372	0.07448398137
373	0.07427741477
374	0.07408089286
375	0.07395476918
376	0.07378905697
377	0.07357411209
378	0.07340379954
379	0.07324927157
380	0.07307095072
381	0.07286254762
382	0.0726632021
383	0.07252573452
384	0.0723704076
385	0.07220471672
386	0.07201614298
387	0.07185963814
388	0.0716689097
389	0.07145830466
390	0.07125670137
391	0.07115956841
392	0.07102339243
393	0.07084788503
394	0.07060085592
395	0.07049437291
396	0.07036537273
397	0.0701884753
398	0.06994482139
399	0.06984523865
400	0.06968246728
401	0.06943077754
402	0.0692760423
403	0.06911009005
404	0.06900628049
405	0.06884037195
406	0.06869593233
407	0.06851624296
408	0.06828771247
409	0.0680963571
410	0.06792842359
411	0.06770585271
412	0.06758034155
413	0.06737478257
414	0.06720428983
415	0.0670540018
416	0.06687308108
417	0.06668626914
418	0.06646469697
419	0.06626333424
420	0.06608597081
421	0.0659057215
422	0.06574831674
423	0.06557254713
424	0.06543908391
425	0.06525081219
426	0.06509705946
427	0.06491418025
428	0.06483250367
429	0.06474751536
430	0.06462516064
431	0.06447353662
432	0.06435619944
433	0.06416486653
434	0.0640378854
435	0.0639055245
436	0.06375277003
437	0.06357393747
438	0.06348343404
439	0.06339500884
440	0.06328788536
441	0.06314539036
442	0.06299169958
443	0.06285906656
444	0.06273984423
445	0.06267791834
446	0.0625646775
447	0.06234478587
448	0.06217714776
449	0.06208537186
450	0.0618827573
451	0.06183237573
452	0.06169800795
453	0.0615624577
454	0.06142654015
455	0.0613418393
456	0.06125388196
457	0.06113772293
458	0.0610176536
459	0.06084472052
460	0.0607463788
461	0.06058691555
462	0.06044229949
463	0.06029915258
464	0.06012597385
465	0.06000714036
466	0.05982965313
467	0.05965020561
468	0.0595583745
469	0.05939972198
470	0.05925395315
471	0.05918281795
472	0.05897214485
473	0.05881427143
474	0.05876602652
475	0.05866558726
476	0.05853331272
477	0.05837213155
478	0.05823550309
479	0.05819366248
